Word,Definition,Topic,Difficulty,Synonym,Antonym
Strict,Demanding that rules are obeyed; not allowing exceptions.,general-vocabulary,EASY,Harsh,Lenient
Strict,Demanding that rules are obeyed; not allowing exceptions.,synonyms,EASY,Harsh,Lenient
Strict,Demanding that rules are obeyed; not allowing exceptions.,antonyms,EASY,Harsh,Lenient
Convenient,Easy to use or helpful for a particular purpose.,general-vocabulary,EASY,Handy,Inconvenient
Convenient,Easy to use or helpful for a particular purpose.,synonyms,EASY,Handy,Inconvenient
Convenient,Easy to use or helpful for a particular purpose.,antonyms,EASY,Handy,Inconvenient
Plummet,To fall or drop straight down very quickly.,general-vocabulary,MEDIUM,Dive,Soar
Plummet,To fall or drop straight down very quickly.,synonyms,MEDIUM,Dive,Soar
Plummet,To fall or drop straight down very quickly.,antonyms,MEDIUM,Dive,Soar
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",general-vocabulary,HARD,Bouncy,Subdued
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",synonyms,HARD,Bouncy,Subdued
Exuberant,"Full of energy, excitement, and cheerful enthusiasm.",antonyms,HARD,Bouncy,Subdued
Rank,"To place things in order according to quality, importance, etc.",general-vocabulary,EASY,Arrange,Disorder
Rank,"To place things in order according to quality, importance, etc.",synonyms,EASY,Arrange,Disorder
Rank,"To place things in order according to quality, importance, etc.",antonyms,EASY,Arrange,Disorder
Thick / Unclear,Difficult to see through or understand.,general-vocabulary,MEDIUM,Murky,Clear
Thick / Unclear,Difficult to see through or understand.,synonyms,MEDIUM,Murky,Clear
Thick / Unclear,Difficult to see through or understand.,antonyms,MEDIUM,Murky,Clear
Sole,Being the only one; single and not shared.,general-vocabulary,EASY,Lone,Multiple
Sole,Being the only one; single and not shared.,synonyms,EASY,Lone,Multiple
Sole,Being the only one; single and not shared.,antonyms,EASY,Lone,Multiple
Manifold,Many and of different kinds.,general-vocabulary,HARD,Myriad,Single
Manifold,Many and of different kinds.,synonyms,HARD,Myriad,Single
Manifold,Many and of different kinds.,antonyms,HARD,Myriad,Single
Promote,To support or help something progress or develop.,general-vocabulary,EASY,Facilitate,Demote
Promote,To support or help something progress or develop.,synonyms,EASY,Facilitate,Demote
Promote,To support or help something progress or develop.,antonyms,EASY,Facilitate,Demote
Ornate,Richly and heavily decorated with complex patterns.,general-vocabulary,HARD,Highly decorated,Plain
Ornate,Richly and heavily decorated with complex patterns.,synonyms,HARD,Highly decorated,Plain
Ornate,Richly and heavily decorated with complex patterns.,antonyms,HARD,Highly decorated,Plain
Thwart,To stop something from happening or succeeding.,general-vocabulary,HARD,Prevent,Assist
Thwart,To stop something from happening or succeeding.,synonyms,HARD,Prevent,Assist
Thwart,To stop something from happening or succeeding.,antonyms,HARD,Prevent,Assist
Immune,Protected from something; not affected by it.,general-vocabulary,EASY,Resistant,Susceptible
Immune,Protected from something; not affected by it.,synonyms,EASY,Resistant,Susceptible
Immune,Protected from something; not affected by it.,antonyms,EASY,Resistant,Susceptible
Furtive,Done in a secretive way to avoid notice.,general-vocabulary,HARD,Stealthy,Overt
Furtive,Done in a secretive way to avoid notice.,synonyms,HARD,Stealthy,Overt
Furtive,Done in a secretive way to avoid notice.,antonyms,HARD,Stealthy,Overt
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",general-vocabulary,MEDIUM,Break,Uphold
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",synonyms,MEDIUM,Break,Uphold
Breach,"An act of breaking a rule, or a gap in a wall or barrier.",antonyms,MEDIUM,Break,Uphold
Congenial,Friendly and enjoyable; well-suited to your tastes.,general-vocabulary,HARD,Pleasant,Unpleasant
Congenial,Friendly and enjoyable; well-suited to your tastes.,synonyms,HARD,Pleasant,Unpleasant
Congenial,Friendly and enjoyable; well-suited to your tastes.,antonyms,HARD,Pleasant,Unpleasant
Amusement,"Enjoyment, laughter, or fun.",general-vocabulary,EASY,Mirth,Boredom
Amusement,"Enjoyment, laughter, or fun.",synonyms,EASY,Mirth,Boredom
Amusement,"Enjoyment, laughter, or fun.",antonyms,EASY,Mirth,Boredom
Flamboyant,"Very noticeable, flashy, or confident in style.",general-vocabulary,HARD,Showy,Modest
Flamboyant,"Very noticeable, flashy, or confident in style.",synonyms,HARD,Showy,Modest
Flamboyant,"Very noticeable, flashy, or confident in style.",antonyms,HARD,Showy,Modest
Score,To gain points in a game or test.,general-vocabulary,EASY,Earn,Lose
Score,To gain points in a game or test.,synonyms,EASY,Earn,Lose
Score,To gain points in a game or test.,antonyms,EASY,Earn,Lose
Excruciating,Extremely painful or intense.,general-vocabulary,HARD,Agonising,Soothing
Excruciating,Extremely painful or intense.,synonyms,HARD,Agonising,Soothing
Excruciating,Extremely painful or intense.,antonyms,HARD,Agonising,Soothing
Then,At that time or next in order.,general-vocabulary,EASY,Afterward,Before
Then,At that time or next in order.,synonyms,EASY,Afterward,Before
Then,At that time or next in order.,antonyms,EASY,Afterward,Before
Pointing,Aiming a finger or object towards something to show its position.,general-vocabulary,EASY,Indicating,Misdirecting
Pointing,Aiming a finger or object towards something to show its position.,synonyms,EASY,Indicating,Misdirecting
Pointing,Aiming a finger or object towards something to show its position.,antonyms,EASY,Indicating,Misdirecting
Aiming,Pointing something towards a target or goal.,general-vocabulary,EASY,Targeting,Straying
Aiming,Pointing something towards a target or goal.,synonyms,EASY,Targeting,Straying
Aiming,Pointing something towards a target or goal.,antonyms,EASY,Targeting,Straying
Receive,To be given something or have something come to you.,general-vocabulary,EASY,Get,Give
Receive,To be given something or have something come to you.,synonyms,EASY,Get,Give
Receive,To be given something or have something come to you.,antonyms,EASY,Get,Give
Acquire,"To get or buy something, especially after effort.",general-vocabulary,MEDIUM,Obtain,Lose
Acquire,"To get or buy something, especially after effort.",synonyms,MEDIUM,Obtain,Lose
Acquire,"To get or buy something, especially after effort.",antonyms,MEDIUM,Obtain,Lose
Fissure,"A long, narrow opening or split, especially in rock or the ground.",general-vocabulary,HARD,Crack,Closure
Fissure,"A long, narrow opening or split, especially in rock or the ground.",synonyms,HARD,Crack,Closure
Fissure,"A long, narrow opening or split, especially in rock or the ground.",antonyms,HARD,Crack,Closure
Opening,A space or hole that allows passage or access.,general-vocabulary,EASY,Gap,Closing
Opening,A space or hole that allows passage or access.,synonyms,EASY,Gap,Closing
