Word,Definition,Topic,Difficulty,Synonym,Antonym
Designate,To choose someone or something for a specific purpose or role.,general-vocabulary,MEDIUM,Select,Dismiss
Slay,To violently end the life of someone or something.,general-vocabulary,EASY,Slaughter,Protect
Apparel,Clothes or garments worn by people.,general-vocabulary,MEDIUM,Clothing,N/A
Orbit,"To move around something, such as a planet or star, in a path.",general-vocabulary,EASY,Circle,N/A
Append,To add or include something at the end of another thing.,general-vocabulary,MEDIUM,Attach,Detach
Lumber,Wood prepared for building or carpentry.,general-vocabulary,EASY,Timber,N/A
Insecure,Lacking confidence or stability.,general-vocabulary,EASY,Unsteady,Confident
Caretaker,"A person who looks after a place, person, or animal.",general-vocabulary,EASY,Steward,N/A
Scope,"The extent or area of activity, influence, or understanding.",general-vocabulary,MEDIUM,Opportunity,Limitation
Perfunctory,Done quickly without showing much interest or effort.,general-vocabulary,HARD,Careless,Thorough
Zealous,Showing great energy and enthusiasm for a cause or activity.,general-vocabulary,HARD,Enthusiastic,Apathetic
Devoted,"Very loyal and loving, or giving a lot of time and effort to something.",general-vocabulary,EASY,Committed,Unfaithful
Fun,"Providing enjoyment, amusement, or pleasure.",general-vocabulary,EASY,Enjoyable,Boring
Exciting,"Making you feel eager, enthusiastic, or full of energy.",general-vocabulary,EASY,Thrilling,Dull
Elements,The different parts or features that make up something.,general-vocabulary,EASY,Components,Whole
Aspects,Particular parts or sides of something.,general-vocabulary,MEDIUM,Features,N/A
Warranty,A written promise to repair or replace something if it breaks within a certain time.,general-vocabulary,MEDIUM,Guarantee,N/A
Guarantee,A firm promise that something will happen or be done.,general-vocabulary,MEDIUM,Promise,N/A
Frequently,Happening many times or at short intervals.,general-vocabulary,EASY,Often,Rarely
Usually,In most cases; most of the time.,general-vocabulary,EASY,Normally,Unusually
Accord,An official or formal agreement between people or groups.,general-vocabulary,MEDIUM,Agreement,Discord
Agree,To have the same opinion or to say yes to something.,general-vocabulary,EASY,Concur,Disagree
Delighted,Very pleased and happy.,general-vocabulary,EASY,Thrilled,Sorrowful
Thrilled,Very excited and pleased.,general-vocabulary,EASY,Excited,Disappointed
Existing,Already in place or happening now; not new.,general-vocabulary,EASY,Current,Nonexistent
Subterranean,Located or happening under the ground.,general-vocabulary,HARD,Underground,Surface
Location,A particular place or position.,general-vocabulary,EASY,Place,N/A
Venue,The place where an event happens.,general-vocabulary,MEDIUM,Site,N/A
Vile,Extremely unpleasant or morally bad.,general-vocabulary,MEDIUM,Disgusting,Pleasant
Repulsive,Causing strong dislike or disgust.,general-vocabulary,MEDIUM,Revolting,Attractive
Devoted,"Very loyal and loving, or giving a lot of time and effort to something.",general-vocabulary,EASY,Dedicated,Disloyal
Committed,"Loyal and determined to support a person, plan, or cause.",general-vocabulary,EASY,Dedicated,Uncommitted
Disintegrate,To break into small parts or fall apart completely.,general-vocabulary,MEDIUM,Crumble,Assemble
Crumble,To break or fall apart into small pieces.,general-vocabulary,EASY,Disintegrate,Build
Stigma,A strong feeling of shame or disapproval linked to something.,general-vocabulary,HARD,Disgrace,Honor
Infamy,Being well known for something bad or shocking.,general-vocabulary,HARD,Notoriety,Fame
Particle,A very small piece of something.,general-vocabulary,MEDIUM,Speck,Whole
Speck,A tiny mark or small piece of something.,general-vocabulary,EASY,Spot,N/A
Coax,To gently persuade someone to do something.,general-vocabulary,MEDIUM,Persuade,Force
Persuade,To cause someone to do or believe something by reasoning or asking.,general-vocabulary,MEDIUM,Convince,Dissuade
Betrayal,The act of being disloyal or breaking someone's trust.,general-vocabulary,MEDIUM,Treachery,Loyalty
Disloyalty,A lack of loyalty; not being faithful or supportive.,general-vocabulary,EASY,Unfaithfulness,Loyalty
Develop,To grow or change into a more advanced form.,general-vocabulary,EASY,Evolve,Regress
Expand,To become larger or to make something larger.,general-vocabulary,EASY,Enlarge,Shrink
Concerning,About something; relating to a particular topic.,general-vocabulary,MEDIUM,Regarding,N/A
About,On the subject of; relating to.,general-vocabulary,EASY,Regarding,N/A
Similar,Nearly the same; having a lot in common.,general-vocabulary,EASY,Comparable,Different
Likewise,In the same way; also.,general-vocabulary,MEDIUM,Similarly,Otherwise
Regret,A feeling of sadness or disappointment about something that happened.,general-vocabulary,EASY,Remorse,Satisfaction
Deplore,To feel strong disapproval of something or be very sorry about it.,general-vocabulary,HARD,Condemn,Applaud
Horrendous,"Extremely bad, unpleasant, or frightening.",general-vocabulary,MEDIUM,Terrible,Wonderful
Appalling,Causing shock or strong disapproval because it is very bad.,general-vocabulary,MEDIUM,Shocking,Delightful
Wantonly,"In a careless or cruel way, without thinking of the consequences.",general-vocabulary,HARD,Recklessly,Cautiously
Randomly,Without a plan or pattern; by chance.,general-vocabulary,EASY,Haphazardly,Systematically
Hasty,"Done too quickly, often without careful thought.",general-vocabulary,EASY,Rushed,Cautious
Impulse,A sudden strong wish to do something without thinking.,general-vocabulary,MEDIUM,Urge,Deliberation
Linger,To stay somewhere longer than necessary because you do not want to leave.,general-vocabulary,MEDIUM,Loiter,Depart
hang arond,To stay near a place and not leave quickly.,general-vocabulary,EASY,Linger,Leave
Thrive,To grow or develop well; to do very well.,general-vocabulary,MEDIUM,Flourish,Fail
Boom,To increase or become successful very quickly.,general-vocabulary,EASY,Prosper,Decline
