Question,Answer,Explanation
"Beligerent [A] crowds refused to calm down, despite repeated warnings [B] from the exhausted [C] officers standing guard [D]. No error [E]",A,'Beligerent' is spelled incorrectly; it needs a double 'l'. The correct spelling is 'Belligerent'.
"The dog seemed friendly at first [A], but its agressive [B] barking grew louder as the delivery [C] van reversed into the driveway [D]. No error [E]",B,'Agressive' is missing a letter; it needs a double 'g'. The correct spelling is 'Aggressive'.
Every student in the hall stood [A] to applaud [B] the ilustrious [C] scientist as she collected her award [D]. No error [E],C,'Ilustrious' is spelled incorrectly; it needs a double 'l'. The correct spelling is 'Illustrious'.
Hundreds of candles were lit [A] along the pathway [B] so that the fireworks display [C] would iluminate [D] the entire valley. No error [E],D,'Iluminate' is missing a letter; it needs a double 'l'. The correct spelling is 'Illuminate'.
It was not necesary [A] for the whole family [B] to travel [C] just to collect a single parcel [D]. No error [E],A,'Necesary' is spelled incorrectly; it needs a double 's'. The correct spelling is 'Necessary'.
"The young athlete was extremely talented [A], but it was her commited [B] attitude during training [C] that impressed the coaches [D] most. No error [E]",B,'Commited' is missing a letter; it needs a double 't'. The correct spelling is 'Committed'.
"Despite his stern reputation [A], visitors soon discovered [B] that the headteacher was an afable [C] man who greeted every family personally [D]. No error [E]",C,'Afable' is missing a letter; it needs a double 'f'. The correct spelling is 'Affable'.
"The kitchen had been left in a state so messy [A] that even the cleaners [B] were shocked, calling the mess [C] simply apalling [D]. No error [E]",D,'Apalling' is spelled incorrectly; it needs a double 'p'. The correct spelling is 'Appalling'.
"Imune [A] to the freezing wind [B], the climbers [C] pressed on towards the summit despite the storm warning [D]. No error [E]",A,'Imune' is missing a letter; it needs a double 'm'. The correct spelling is 'Immune'.
"After months of talks [A], the two nations finally reached an acord [B] that satisfied both governments [C] and ended the dispute [D]. No error [E]",B,'Acord' is missing a letter; it needs a double 'c'. The correct spelling is 'Accord'.
Historians argue that harsh laws [A] were designed [B] to opress [C] ordinary citizens rather than protect them [D]. No error [E],C,'Opress' is missing a letter; it needs a double 'p'. The correct spelling is 'Oppress'.
"She chose her words carefully [A] during the speech [B], hoping not to upset any of the guests [C] while trying not to ofend [D] her rivals. No error [E]",D,'Ofend' is missing a letter; it needs a double 'f'. The correct spelling is 'Offend'.
"Waranty [A] documents were kept safely [B] in a drawer, alongside the receipt [C] and the original box [D]. No error [E]",A,'Waranty' is missing a letter; it needs a double 'r'. The correct spelling is 'Warranty'.
The shop assistant offered a full refund [A] and a written guarante [B] that the fault [C] would not happen again [D]. No error [E],B,'Guarante' is missing a letter; it needs a double 'e' at the end. The correct spelling is 'Guarantee'.
Bright security lights [A] were installed [B] as a deterent [C] against burglars targeting the quiet street [D]. No error [E],C,'Deterent' is missing a letter; it needs a double 'r'. The correct spelling is 'Deterrent'.
"Geologists studied the rock face carefully [A], noting the unusual colour [B] of the ancient stone [C] before finding a hidden fisure [D] near the summit. No error [E]",D,'Fisure' is missing a letter; it needs a double 's'. The correct spelling is 'Fissure'.
"Hagard [A] after the overnight [B] storm, the sailors [C] finally reached the safety of the harbour [D]. No error [E]",A,'Hagard' is missing a letter; it needs a double 'g'. The correct spelling is 'Haggard'.
"Within minutes [A], it became aparent [B] that the bridge [C] would need urgent repairs [D]. No error [E]",B,'Aparent' is missing a letter; it needs a double 'p'. The correct spelling is 'Apparent'.
"Neighbours often smiled [A] at the old professor [B], whose ecentric [C] habits included wearing odd socks [D] to every lecture. No error [E]",C,'Ecentric' is missing a letter; it needs a double 'c'. The correct spelling is 'Eccentric'.
"After the sudden downpour [A], the hikers trudged [B] back to the campsite [C], utterly bedragled [D] and shivering. No error [E]",D,'Bedragled' is missing a letter; it needs a double 'g'. The correct spelling is 'Bedraggled'.
"Grogy [A] from the long flight [B], the travellers [C] struggled to find their luggage [D] at the busy airport. No error [E]",A,'Grogy' is missing a letter; it needs a double 'g'. The correct spelling is 'Groggy'.
Local police warned [A] that anyone who continued to haras [B] the shopkeepers [C] would face serious charges [D]. No error [E],B,'Haras' is missing a letter; it needs a double 's'. The correct spelling is 'Harass'.
"Families gathered early [A] for the village fete [B], an anual [C] tradition dating back generations [D]. No error [E]",C,'Anual' is missing a letter; it needs a double 'n'. The correct spelling is 'Annual'.
"For the school play [A], every actor [B] wore carefully chosen [C] period aparel [D]. No error [E]",D,'Aparel' is missing a letter; it needs a double 'p'. The correct spelling is 'Apparel'.
Horendous [A] traffic [B] on the motorway [C] meant the coach arrived nearly two hours late [D]. No error [E],A,'Horendous' is missing a letter; it needs a double 'r'. The correct spelling is 'Horrendous'.
"Along the shoreline [A], comon [B] shells and driftwood [C] littered the beach after the storm [D]. No error [E]",B,'Comon' is missing a letter; it needs a double 'm'. The correct spelling is 'Common'.
"After careful thought [A], the committee agreed [B] to acept [C] the proposal [D] without further changes. No error [E]",C,'Acept' is missing a letter; it needs a double 'c'. The correct spelling is 'Accept'.
"The gardener discarded [A] the fruit [B] at the bottom of the crate [C], which had clearly gone roten [D]. No error [E]",D,'Roten' is missing a letter; it needs a double 't'. The correct spelling is 'Rotten'.
"Overnight [A], temperatures [B] were forecast [C] to plumet [D] well below freezing. No error [E]",D,'Plumet' is missing a letter; it needs a double 'm'. The correct spelling is 'Plummet'.
Critics agreed [A] the terible [B] ending ruined [C] an otherwise brilliant film [D]. No error [E],B,'Terible' is missing a letter; it needs a double 'r'. The correct spelling is 'Terrible'.
"Exhausted [A] and dehydrated [B], the desert traveller began to hallucinate [C] about a lake shimmering ahead [D]. No error [E]",E,All four underlined words are spelled correctly.
There was very little [A] time left [B] before the curtain rose [C] on opening night [D]. No error [E],E,All four underlined words are spelled correctly.
"The tide began to ebb [A] slowly [B], leaving pools of water [C] scattered across the sand [D]. No error [E]",E,All four underlined words are spelled correctly.
"The market stall displayed [A] an impressive array [B] of spices [C], fabrics and handmade jewellery [D]. No error [E]",E,All four underlined words are spelled correctly.
Each succeeding [A] generation [B] of the family [C] took over the small bakery [D]. No error [E],E,All four underlined words are spelled correctly.
